Size, Regular, Karatsuba, Java's BigInteger
96, 7.58007E-7, 4.787194000000001E-6, 8.459300000000001E-8
97, 8.10276E-7, 5.635520000000001E-6, 1.65266E-7
98, 8.23067E-7, 4.789324E-6, 1.6723400000000003E-7
99, 9.732020000000001E-7, 5.481102E-6, 2.2138200000000002E-7
100, 8.64039E-7, 5.701126000000001E-6, 1.2225E-7
101, 1.052592E-6, 6.261437E-6, 1.4192300000000002E-7
102, 1.0406210000000002E-6, 5.8106310000000005E-6, 1.0128400000000001E-7
103, 8.1042E-7, 4.735172E-6, 1.1837200000000001E-7
104, 9.81592E-7, 7.02344E-6, 2.16328E-7
105, 1.052954E-6, 7.828856E-6, 1.9961400000000003E-7
106, 1.08981E-6, 9.898585E-6, 1.9056E-7
107, 1.078674E-6, 1.1810021000000001E-5, 1.85166E-7
108, 9.00074E-7, 8.561843000000001E-6, 1.53129E-7
109, 1.422562E-6, 9.682428E-6, 1.69554E-7
110, 1.44282E-6, 8.834977000000001E-6, 1.44379E-7
111, 1.211211E-6, 8.240009E-6, 1.37574E-7
112, 1.089481E-6, 7.102049000000001E-6, 1.0032700000000001E-7
113, 1.058346E-6, 6.911487E-6, 9.855300000000001E-8
114, 1.074385E-6, 6.9687310000000005E-6, 1.0693800000000001E-7
115, 1.1421600000000002E-6, 5.478389000000001E-6, 9.566200000000001E-8
116, 1.019659E-6, 8.565862E-6, 1.50997E-7
117, 1.209618E-6, 6.947078000000001E-6, 2.11213E-7
118, 1.499325E-6, 7.634711E-6, 1.88801E-7
119, 1.178061E-6, 7.938832E-6, 1.44927E-7
120, 1.392483E-6, 6.4877560000000004E-6, 1.8702400000000002E-7
121, 1.26106E-6, 6.700102E-6, 1.5001800000000001E-7
122, 1.1877880000000002E-6, 5.714224E-6, 1.4475100000000002E-7
123, 1.091739E-6, 7.354332000000001E-6, 1.17399E-7
124, 1.166418E-6, 5.932403000000001E-6, 1.21534E-7
125, 1.123681E-6, 7.144344000000001E-6, 1.40326E-7
126, 1.216416E-6, 8.272171000000001E-6, 1.6549900000000002E-7
127, 1.520568E-6, 8.491345E-6, 2.05658E-7
128, 1.8065280000000001E-6, 7.629300000000001E-6, 1.7969700000000002E-7
129, 1.7012400000000002E-6, 8.201169E-6, 1.35792E-7
130, 1.4236050000000002E-6, 6.784126E-6, 1.3324000000000002E-7
131, 1.4368040000000003E-6, 6.571915000000001E-6, 1.13874E-7
132, 1.34575E-6, 6.726659E-6, 1.1165200000000001E-7
133, 1.4200460000000002E-6, 6.743634000000001E-6, 1.69926E-7
134, 1.5623230000000003E-6, 8.126088E-6, 1.241E-7
135, 1.5122460000000001E-6, 9.925981000000001E-6, 1.7982800000000001E-7
136, 1.6046010000000003E-6, 7.769044E-6, 1.7504800000000002E-7
137, 1.6660580000000001E-6, 7.444167000000001E-6, 1.7457700000000002E-7
138, 1.4555440000000002E-6, 6.574378E-6, 1.5105000000000002E-7
139, 1.475182E-6, 6.806496000000001E-6, 1.4687600000000002E-7
140, 1.436819E-6, 8.37384E-6, 1.76578E-7
141, 1.4263880000000001E-6, 6.731837000000001E-6, 1.93553E-7
142, 1.4914580000000001E-6, 7.500027000000001E-6, 2.0014200000000002E-7
143, 1.852393E-6, 7.797739E-6, 1.4404800000000002E-7
144, 1.825937E-6, 9.025642E-6, 1.53398E-7
145, 2.0785390000000005E-6, 1.0162568E-5, 1.40306E-7
146, 1.806396E-6, 1.0590097E-5, 1.3889400000000003E-7
147, 1.8945760000000002E-6, 9.149938000000001E-6, 1.35283E-7
148, 1.836955E-6, 8.998215E-6, 1.55337E-7
149, 2.200613E-6, 1.0361047000000001E-5, 2.12587E-7
150, 1.922668E-6, 1.3253753000000002E-5, 1.5941300000000003E-7
151, 1.8479390000000001E-6, 1.0674667E-5, 1.55884E-7
152, 2.1154319999999997E-6, 9.318882E-6, 1.50945E-7
153, 1.810316E-6, 9.274492E-6, 1.44339E-7
154, 1.866608E-6, 1.0544001E-5, 1.25705E-7
155, 1.8926900000000003E-6, 9.611267E-6, 1.99826E-7
156, 1.921825E-6, 1.1030458E-5, 2.4861300000000003E-7
157, 2.061139E-6, 1.2221108E-5, 3.18962E-7
158, 1.8932170000000002E-6, 1.0995875E-5, 2.10837E-7
159, 1.994773E-6, 9.343124000000001E-6, 1.8085600000000001E-7
160, 1.853054E-6, 9.351055000000001E-6, 1.53922E-7
161, 1.8741430000000001E-6, 9.568363E-6, 1.8970400000000002E-7
162, 1.946582E-6, 1.5686283E-5, 2.88835E-7
163, 2.5687450000000003E-6, 1.2843537000000001E-5, 1.8496400000000001E-7
164, 2.3975949999999998E-6, 1.3416885000000001E-5, 1.86415E-7
165, 2.4041640000000005E-6, 1.1423932000000002E-5, 1.7546400000000002E-7
166, 2.313196E-6, 1.3062866E-5, 1.7243600000000002E-7
167, 2.652046E-6, 2.2143851E-5, 2.5620400000000004E-7
168, 2.6130020000000003E-6, 1.3865832000000001E-5, 2.00363E-7
169, 2.296901E-6, 1.2974683000000001E-5, 2.3389900000000002E-7
170, 2.31746E-6, 1.2600582000000002E-5, 1.6655500000000002E-7
171, 2.496446E-6, 1.1873369E-5, 1.53534E-7
172, 2.277783E-6, 1.3315962E-5, 1.75269E-7
173, 2.363113E-6, 1.3896012000000002E-5, 2.38581E-7
174, 2.6827520000000003E-6, 1.3572283E-5, 2.88442E-7
175, 2.575805E-6, 1.4201013000000002E-5, 2.1638800000000002E-7
176, 2.376095E-6, 1.1706759E-5, 1.9762700000000003E-7
177, 2.305062E-6, 1.2152207000000001E-5, 1.9808500000000002E-7
178, 2.251531E-6, 1.2989056000000002E-5, 2.53443E-7
179, 2.379705E-6, 1.4498046000000002E-5, 2.6804100000000004E-7
180, 2.735922E-6, 1.5249777000000001E-5, 2.26794E-7
181, 3.070589E-6, 1.3502659E-5, 2.32185E-7
182, 2.7919940000000004E-6, 1.3660593000000002E-5, 2.01124E-7
183, 2.715063E-6, 1.3484576E-5, 2.1429E-7
184, 3.290044E-6, 1.5895413000000003E-5, 2.43606E-7
185, 3.4316230000000003E-6, 1.4958163E-5, 1.8702400000000002E-7
186, 3.2856500000000005E-6, 1.3928990000000001E-5, 2.03355E-7
187, 2.806659E-6, 1.4381496E-5, 1.84284E-7
188, 2.765173E-6, 1.3328713E-5, 1.91887E-7
189, 3.319468E-6, 1.6548200000000002E-5, 1.9776900000000003E-7
